time,joint1_angle,joint2_angle,joint1_ref,joint2_ref,joint1_error,joint2_error,joint1_torque,joint2_torque,ee_x,ee_y,ee_distance
2.5999999999998247,7.613910579086947e-06,1.4933872767449346e-10,0.0,0.0,-7.613910579086947e-06,-1.4933872767449346e-10,-0.0004931853012614206,-1.1016398821303415e-08,0.799999999976811,6.091173264829006e-06,0.8
2.6009999999998246,7.616997740673401e-06,1.493506769130044e-10,0.0,0.0,-7.616997740673401e-06,-1.493506769130044e-10,-0.0004934164301126908,-1.1018492640584065e-08,0.7999999999767922,6.09364299768287e-06,0.8
2.6019999999998245,7.620085029880926e-06,1.4936262675159587e-10,0.0,0.0,-7.620085029880926e-06,-1.4936262675159587e-10,-0.0004936475962455567,-1.1020586609511678e-08,0.7999999999767733,6.0961128326337695e-06,0.7999999999999999
2.6029999999998243,7.6231724467153646e-06,1.4937457719029662e-10,0.0,0.0,-7.6231724467153646e-06,-1.4937457719029662e-10,-0.0004938787996615823,-1.1022680728111278e-08,0.7999999999767545,6.09858276968638e-06,0.7999999999999999
2.6039999999998242,7.626259991182561e-06,1.4938652822913715e-10,0.0,0.0,-7.626259991182561e-06,-1.4938652822913715e-10,-0.0004941100403623403,-1.1024774996364707e-08,0.7999999999767358,6.101052808845377e-06,0.8
2.604999999999824,7.629347663288361e-06,1.4939847986814966e-10,0.0,0.0,-7.629347663288361e-06,-1.4939847986814966e-10,-0.0004943413183494036,-1.1026869414287899e-08,0.7999999999767169,6.103522950115438e-06,0.8
2.605999999999824,7.632435463038608e-06,1.4941043210735953e-10,0.0,0.0,-7.632435463038608e-06,-1.4941043210735953e-10,-0.0004945726336243407,-1.102896398189712e-08,0.799999999976698,6.105993193501235e-06,0.8
2.606999999999824,7.635523390439147e-06,1.4942238494680576e-10,0.0,0.0,-7.635523390439147e-06,-1.4942238494680576e-10,-0.0004948039861887202,-1.103105869916552e-08,0.7999999999766791,6.1084635390074454e-06,0.8
2.607999999999824,7.638611445495823e-06,1.4943433838651374e-10,0.0,0.0,-7.638611445495823e-06,-1.4943433838651374e-10,-0.0004950353760441111,-1.103315356616904e-08,0.7999999999766603,6.110933986638746e-06,0.7999999999999999
2.6089999999998237,7.641699628214483e-06,1.4944629242651737e-10,0.0,0.0,-7.641699628214483e-06,-1.4944629242651737e-10,-0.0004952668031920863,-1.1035248582847094e-08,0.7999999999766414,6.113404536399815e-06,0.7999999999999999
2.6099999999998236,7.644787938600971e-06,1.4945824706683865e-10,0.0,0.0,-7.644787938600971e-06,-1.4945824706683865e-10,-0.0004954982676342189,-1.1037343749249771e-08,0.7999999999766225,6.115875188295324e-06,0.8
2.6109999999998235,7.647876376661135e-06,1.4947020230751654e-10,0.0,0.0,-7.647876376661135e-06,-1.4947020230751654e-10,-0.0004957297693720694,-1.1039439065324724e-08,0.7999999999766036,6.118345942329955e-06,0.8
2.6119999999998234,7.65096494240082e-06,1.494821581485799e-10,0.0,0.0,-7.65096494240082e-06,-1.494821581485799e-10,-0.0004959613084072239,-1.104153453116482e-08,0.7999999999765848,6.120816798508384e-06,0.8
2.6129999999998232,7.654053635825875e-06,1.4949411459005913e-10,0.0,0.0,-7.654053635825875e-06,-1.4949411459005913e-10,-0.000496192884741243,-1.1043630146726709e-08,0.7999999999765659,6.1232877568352875e-06,0.8
2.613999999999823,7.657142456942144e-06,1.4950607163198648e-10,0.0,0.0,-7.657142456942144e-06,-1.4950607163198648e-10,-0.0004964244983756958,-1.104572591202606e-08,0.7999999999765469,6.1257588173153435e-06,0.7999999999999999
2.614999999999823,7.660231405755477e-06,1.4951802927438735e-10,0.0,0.0,-7.660231405755477e-06,-1.4951802927438735e-10,-0.0004966561493121518,-1.1047821827079278e-08,0.7999999999765279,6.128229979953229e-06,0.7999999999999999
2.615999999999823,7.66332048227172e-06,1.4952998751729562e-10,0.0,0.0,-7.66332048227172e-06,-1.4952998751729562e-10,-0.000496887837552197,-1.1049917891859644e-08,0.7999999999765091,6.130701244753624e-06,0.8
2.616999999999823,7.666409686496722e-06,1.4954194636074516e-10,0.0,0.0,-7.666409686496722e-06,-1.4954194636074516e-10,-0.0004971195630973841,-1.1052014106417254e-08,0.7999999999764902,6.133172611721207e-06,0.8
2.6179999999998227,7.66949901843633e-06,1.4955390580476308e-10,0.0,0.0,-7.66949901843633e-06,-1.4955390580476308e-10,-0.0004973513259492909,-1.1054110470759676e-08,0.7999999999764711,6.135644080860653e-06,0.7999999999999999
2.6189999999998226,7.672588478096394e-06,1.4956586584937988e-10,0.0,0.0,-7.672588478096394e-06,-1.4956586584937988e-10,-0.000497583126109487,-1.1056206984860535e-08,0.7999999999764522,6.1381156521766455e-06,0.8
2.6199999999998225,7.675678065482763e-06,1.4957782649463114e-10,0.0,0.0,-7.675678065482763e-06,-1.4957782649463114e-10,-0.0004978149635795505,-1.1058303648744296e-08,0.7999999999764332,6.140587325673861e-06,0.8
2.6209999999998224,7.678767780601286e-06,1.4958978774054227e-10,0.0,0.0,-7.678767780601286e-06,-1.4958978774054227e-10,-0.0004980468383610513,-1.1060400462444078e-08,0.7999999999764142,6.1430591013569815e-06,0.7999999999999999
2.6219999999998223,7.681857623457812e-06,1.4960174958714712e-10,0.0,0.0,-7.681857623457812e-06,-1.4960174958714712e-10,-0.0004982787504555504,-1.106249742591636e-08,0.7999999999763953,6.145530979230683e-06,0.8
2.622999999999822,7.68494759405819e-06,1.4961371203447452e-10,0.0,0.0,-7.68494759405819e-06,-1.4961371203447452e-10,-0.0004985106998646263,-1.1064594539211112e-08,0.7999999999763763,6.148002959299646e-06,0.8
2.623999999999822,7.688037692408273e-06,1.4962567508255327e-10,0.0,0.0,-7.688037692408273e-06,-1.4962567508255327e-10,-0.0004987426865898489,-1.106669180231057e-08,0.7999999999763573,6.150475041568553e-06,0.8
2.624999999999822,7.691127918513909e-06,1.4963763873141384e-10,0.0,0.0,-7.691127918513909e-06,-1.4963763873141384e-10,-0.0004989747106327967,-1.1068789215222061e-08,0.7999999999763383,6.152947226042084e-06,0.8
2.625999999999822,7.69421827238095e-06,1.496496029810952e-10,0.0,0.0,-7.69421827238095e-06,-1.496496029810952e-10,-0.0004992067719950314,-1.1070886777961509e-08,0.7999999999763192,6.155419512724919e-06,0.7999999999999999
2.6269999999998217,7.697308754015247e-06,1.4966156783161602e-10,0.0,0.0,-7.697308754015247e-06,-1.4966156783161602e-10,-0.0004994388706781314,-1.1072984490579401e-08,0.7999999999763002,6.157891901621738e-06,0.8
2.6279999999998216,7.70039936342265e-06,1.4967353328301522e-10,0.0,0.0,-7.70039936342265e-06,-1.4967353328301522e-10,-0.000499671006683667,-1.107508235298096e-08,0.7999999999762812,6.160364392737222e-06,0.8
2.6289999999998215,7.703490100609011e-06,1.4968549933532333e-10,0.0,0.0,-7.703490100609011e-06,-1.4968549933532333e-10,-0.0004999031800132002,-1.1077180365275724e-08,0.7999999999762621,6.162836986076053e-06,0.7999999999999999
2.6299999999998214,7.706580965580184e-06,1.496974659885657e-10,0.0,0.0,-7.706580965580184e-06,-1.496974659885657e-10,-0.0005001353906683181,-1.1079278527428972e-08,0.799999999976243,6.165309681642915e-06,0.7999999999999999
2.6309999999998213,7.70967195834202e-06,1.497094332427763e-10,0.0,0.0,-7.70967195834202e-06,-1.497094332427763e-10,-0.0005003676386505912,-1.1081376839422382e-08,0.799999999976224,6.167782479442488e-06,0.7999999999999999
2.631999999999821,7.71276307890037e-06,1.4972140109798722e-10,0.0,0.0,-7.71276307890037e-06,-1.4972140109798722e-10,-0.0005005999239615817,-1.1083475301306318e-08,0.799999999976205,6.17025537947945e-06,0.8
2.632999999999821,7.71585432726109e-06,1.4973336955423072e-10,0.0,0.0,-7.71585432726109e-06,-1.4973336955423072e-10,-0.00050083224660286,-1.1085573913079609e-08,0.7999999999761859,6.172728381758489e-06,0.7999999999999999
2.633999999999821,7.718945703430032e-06,1.4974533861153218e-10,0.0,0.0,-7.718945703430032e-06,-1.4974533861153218e-10,-0.0005010646065760138,-1.108767267475013e-08,0.7999999999761669,6.175201486284286e-06,0.8000000000000002
2.634999999999821,7.722037207413049e-06,1.497573082699255e-10,0.0,0.0,-7.722037207413049e-06,-1.497573082699255e-10,-0.0005012970038826054,-1.1089771586291172e-08,0.7999999999761478,6.177674693061523e-06,0.8
2.6359999999998207,7.725128839215993e-06,1.4976927852943946e-10,0.0,0.0,-7.725128839215993e-06,-1.4976927852943946e-10,-0.0005015294385242056,-1.1091870647752833e-08,0.7999999999761286,6.1801480020948836e-06,0.8
2.6369999999998206,7.728220598844721e-06,1.4978124939010964e-10,0.0,0.0,-7.728220598844721e-06,-1.4978124939010964e-10,-0.0005017619105023851,-1.1093969859116976e-08,0.7999999999761095,6.182621413389049e-06,0.7999999999999999
2.6379999999998205,7.731312486305086e-06,1.4979322085195977e-10,0.0,0.0,-7.731312486305086e-06,-1.4979322085195977e-10,-0.0005019944198187236,-1.1096069220425507e-08,0.7999999999760903,6.1850949269487064e-06,0.7999999999999999
2.6389999999998204,7.734404501602943e-06,1.498051929150271e-10,0.0,0.0,-7.734404501602943e-06,-1.498051929150271e-10,-0.000502226966474792,-1.1098168731626305e-08,0.7999999999760712,6.187568542778537e-06,0.7999999999999999
2.6399999999998203,7.737496644744147e-06,1.4981716557933705e-10,0.0,0.0,-7.737496644744147e-06,-1.4981716557933705e-10,-0.0005024595504721614,-1.1100268392794838e-08,0.7999999999760521,6.190042260883225e-06,0.7999999999999999
